year,award,outcome,title,author,published
1996,Best Short Story,Finalist,“These Shoes Strangers Have Died Of”,Bruce Holland Rogers,no publishing information available
1996,Best Short Story,Finalist,“In the Shade of the Slowboat Man”,Dean Wesley Smith,The Magazine of Fantasy and Science Fiction
1995,Best Novel,Finalist,Mother of Storms,John Barnes,Tor
1995,Best Novel,Finalist,Celestis,Paul Park,Tor
1995,Best Novel,Winner,The Terminal Experiment,Robert J. Sawyer,HarperPrism
1995,Best Novel,Finalist,Metropolitan,Walter Jon Williams,HarperPrism
1995,Best Novel,Finalist,Calde of the Long Sun,Gene Wolfe,Tor
1995,Best Novella,Finalist,“Soon Comes Night”,Gregory Benford,Asimov’s Magazine
1995,Best Novella,Finalist,“Yaguara”,Nicola Griffith,Asimov’s Magazine
1995,Best Novella,Winner,“Last Summer of Mars Hill”,Elizabeth Hand,The Magazine of Fantasy and Science Fiction
1995,Best Novella,Finalist,“Bibi”,Mike Resnick,Susan Shwartz
1995,Best Novella,Finalist,“Mortimer Gray’s History of Death”,Brian Stableford,Asimov’s Magazine
1995,Best Novelette,Finalist,“The Resurrection Man’s Legacy”,Dale Bailey,The Magazine of Fantasy and Science Fiction
1995,Best Novelette,Finalist,“Tea and Hamsters”,Michael Coney,The Magazine of Fantasy and Science Fiction
1995,Best Novelette,Finalist,“Jesus at the Bat”,Esther M. Friesner,The Magazine of Fantasy and Science Fiction
1995,Best Novelette,Finalist,“Home for Christmas”,Nina Kiriki Hoffman,The Magazine of Fantasy and Science Fiction
1995,Best Novelette,Finalist,“Think Like a Dinosaur”,James Patrick Kelly,Asimov’s Magazine
1995,Best Novelette,Winner,“Solitude”,Ursula K. Le Guin,The Magazine of Fantasy and Science Fiction
1995,Best Novelette,Finalist,“When the Old Gods Die”,Mike Resnick,Asimov’s Magazine
1995,Best Short Story,Finalist,“Alien Jane”,Kelley Eskridge,no publishing information available
1995,Best Short Story,Winner,“Death and the Librarian”,Esther M. Friesner,Asimov’s Magazine
