year,award,outcome,title,author,published
2003,Best Novelette,5,“Madonna of the Maquiladora”,Gregory Frost,Asimov’s May 2002
2003,Best Short Story,1,“Falling onto Mars”,Geoffrey A. Landis,Analog Jul/Aug 2002
2003,Best Short Story,2,"“‘Hello,’ Said the Stick”",Michael Swanwick,Analog Mar 2002
2003,Best Short Story,3,“The Little Cat Laughed to See Such Sport”,Michael Swanwick,Asimov’s Oct/Nov 2002
2003,Best Short Story,4,“Creation”,Jeffrey Ford,F&SF May 2002
2003,Best Short Story,5,“Lambing Season”,Molly Gloss,Asimov’s Jul 2002
2002,Best Novel,1,American Gods,Neil Gaiman,"Morrow, 2001"
2002,Best Novel,2,The Curse of Chalion,Lois Mcmaster Bujold,"Eos, 2001"
2002,Best Novel,3,Passage,Connie Willis,"Bantam, 2001"
2002,Best Novel,4,Perdido Street Station,China Miéville,"Macmillan, 2000; Del Rey, 2001; Fleuve noir, 2003"
2002,Best Novel,5,The Chronoliths,Robert Charles Wilson,"Tor, 2001"
