year,award,outcome,title,author,published
2014,Best SF Novel,11,Proxima, Stephen Baxter ,Gollancz
2014,Best SF Novel,12,Lexicon, Max Barry ,Pengin; Mulholland UK
2014,Best SF Novel,13,Finches of Mars, Brian Aldiss ,The Friday Project
2014,Best SF Novel,14,The Arrows of Time, Greg Egan ,Gollancz
2014,Best SF Novel,15,ID: The Second Machine Dynasty, Madeline Ashby ,Angry Robot
2014,Best SF Novel,16,Evening's Empires, Paul Mcauley ,Gollancz
2014,Best SF Novel,17,Ancillary Justice, Ann Leckie ,Orbit
2014,Best SF Novel,18,The Cusanus Game, Wolfgang Jeschke ,Tor
2014,Best SF Novel,19,Countdown City, Ben H. Winters ,Quirk
2014,Best SF Novel,20,The Last President, John Barnes ,Ace
2014,Best SF Novel,21,Jupiter War, Neal Asher ,Tor UK; Night Shade
2014,Best SF Novel,22,Trade Secret, Sharon Lee & Steve Miller ,Baen
2014,Best SF Novel,23,Necessity's Child, Sharon Lee & Steve Miller ,Baen
2014,Best Fantasy Novel,1,The Ocean at the End of the Lane, Neil Gaiman ,Morrow; Headline Review
2014,Best Fantasy Novel,2,NOS4A2, Joe Hill ,Morrow; Gollancz as NOS4R2
2014,Best Fantasy Novel,3,The Republic of Thieves, Scott Lynch ,Del Rey; Gollancz
2014,Best Fantasy Novel,4,River of Stars, Guy Gavriel Kay ,Roc; Viking Canada; HarperCollins UK
2014,Best Fantasy Novel,5,Doctor Sleep, Stephen King ,Scribner; Hodder & Stoughton
2014,Best Fantasy Novel,6,The Shining Girls, Lauren Beukes ,Random House Struik South Africa; Harper Collins UK; Mulholland Books
2014,Best Fantasy Novel,7,Raising Steam, Terry Pratchett ,Doubleday
2014,Best Fantasy Novel,8,Sister Mine, Nalo Hopkinson ,Grand Central
2014,Best Fantasy Novel,9,The Land Across, Gene Wolfe ,Tor
2014,Best Fantasy Novel,10,London Falling, Paul Cornell ,Tor
2014,Best Fantasy Novel,11,Joyland, Stephen King ,Hard Case Crime
2014,Best Fantasy Novel,12,Life After Life, Kate Atkinson ,Doubleday UK; Reagan Arthur
2014,Best Fantasy Novel,13,Blood Oranges, Kathleen Tierney ,Roc
2014,Best Fantasy Novel,14,The Tyrant's Law, Daniel Abraham ,Orbit
2014,Best Fantasy Novel,15,Cold Steel, Kate Elliott ,Orbit
2014,Best Fantasy Novel,16,Necessary Evil, Ian Tregillis ,Tor; Orbit UK
2014,Best Fantasy Novel,17,The Aylesford Skull, James P. Blaylock ,Titan
2014,Best Fantasy Novel,18,The Violent Century, Lavie Tidhar ,Hodder; PS Publishing
2014,Best Fantasy Novel,19,Anno Dracula 1976-1991: Johnny Alucard, Kim Newman ,Titan
2014,Best Fantasy Novel,20,American Elsewhere, Robert Jackson Bennett ,Orbit
2014,Best Fantasy Novel,21,The Year of the Ladybird, Graham Joyce ,Gollancz; Doubleday '14 as The Ghost in the Electric Blue Suit
2014,Best Fantasy Novel,22,The Scrivener's Tale, Fiona Mcintosh ,Harper Voyager Australia; Harper Voyager US
2014,Best Fantasy Novel,23,Between Two Thorns, Emma Newman ,Angry Robot
2014,Best Fantasy Novel,24,The Village Sang to the Sea: A Memoir of Magic, Bruce Mcallister ,Aeon
2014,Best Fantasy Novel,25,Dead Set, Richard Kadrey ,Harper Voyager
2014,Best Novella,1,Six-Gun Snow White, Catherynne M. Valente ,Subterranean
2014,Best Novella,2,Wakulla Springs, Andy Duncan & Ellen Klages ,Tor.com 2 Oct 2013
2014,Best Novella,3,The Princess and the Queen, George R. R. Martin ,Dangerous Women
2014,Best Novella,4,Black Helicopters, Caitlín R. Kiernan ,Subterranean
2014,Best Novella,5,Precious Mental, Robert Reed ,Asimov's Jun 2013
2014,Best Novella,6,Rock of Ages, Jay Lake ,METAropolis: Green Space
2014,Best Novella,7,The Queen of Eyes, Rachel Pollack ,F&SF; Sep/Oct 2013
2014,Best Novella,8,Feral Moon, Alexander Jablokov ,Asimov's Mar 2013
2014,Best Novella,9,Iseul's Lexicon, Yoon Ha Lee ,Conservation of Shadows
2014,Best Novella,10,The Weight of the Sunrise, Vylar Kaftan ,Asimov's Feb 2013
2014,Best Novella,11,Spin, Nina Allan ,TTA Press
2014,Best Novella,12,The Home for Broken Dolls, Kirstyn Mcdermott ,Caution: Contains Small Parts
2014,Best Novella,13,The Mummy's Heart, Norman Partridge ,Halloween
2014,Best Novelette,1,The Sleeper and the Spindle, Neil Gaiman ,Rags and Bones
2014,Best Novelette,2,The Truth of Fact, The Truth Of Feeling”,Subterranean Fall 2013
2014,Best Novelette,3,The Prayer of Ninety Cats, Caitlín R. Kiernan ,Subterranean Spr 2013
2014,Best Novelette,4,The Waiting Stars, Aliette De Bodard ,The Other Half of the Sky
2014,Best Novelette,5,A Terror, Jeffrey Ford ,Tor.com 24 Jul 2013
2014,Best Novelette,6,A Hollow Play, Amal El-Mohtar ,Glitter & Mayhem
2014,Best Novelette,7,The Litigation Master and the Monkey King, Ken Liu ,Lightspeed Aug 2013
2014,Best Novelette,8,Jaws of Saturn, Laird Barron ,The Beautiful Thing That Awaits Us All
2014,Best Novelette,9,The Sun and I, K. J. Parker ,Subterranean Spr 2013
2014,Best Novelette,10,Zero for Conduct, Greg Egan ,Twelve Tomorrows
2014,Best Novelette,11,Kormak the Lucky, Eleanor Arnason ,F&SF; Jul/Aug 2013
2014,Best Novelette,12,The Unwanted Women of Surrey, Kaaron Warren ,Queen Victoria's Book of Spells
2014,Best Novelette,13,Paranormal Romance, Christopher Barzak ,Lightspeed Jun 2013
2014,Best Novelette,14,The Queen of the Night's Aria, Ian Mcdonald ,Old Mars
2014,Best Novelette,15,We Three Kids, Margo Lanagan ,PS Publishing
2014,Best Novelette,16,The Ugly Duckling, Matthew Hughes ,Old Mars
2014,Best Novelette,17,The Wreck of the Mars Adventure, David D. Levine ,Old Mars
2014,Best Novelette,18,The Christmas Show, Pat Cadigan ,Tor.com 17 Dec 2013
2014,Best Novelette,19,A Window or a Small Box, Jedediah Berry ,Tor.com 5 Jun 2013
